Index,Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make.and.Model
59,20001211X09837,Incident,4/4/98,,,,Incident,Minor,Airplane,Boeing,767,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 767
60,20001211X09838,Accident,4/12/98,,,,Unavailable,Substantial,Airplane,Boeing,737,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 737
61,20001211X09836,Incident,4/27/98,,,,Incident,Unknown,Airplane,Boeing,737,UNK,Unknown,"Non-U.S., Commercial",Other Work Use,,,,,UNK,Unknown,Foreign,1998,Boeing 737
62,20001211X10045,Accident,5/29/98,,,,Unavailable,Substantial,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 737
63,20001211X10287,Incident,6/27/98,,,,Incident,Unknown,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 737
64,20001211X10547,Incident,7/2/98,,,,Incident,Unknown,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,5,UNK,Unknown,Foreign,1998,Boeing 737
65,20001211X10546,Incident,7/20/98,,,,Incident,Unknown,Airplane,Boeing,747,UNK,Unknown,Part 121: Air Carrier,Unknown,,,,3,UNK,Unknown,Foreign,1998,Boeing 747
66,20001211X10549,Incident,7/29/98,,,,Incident,Minor,Airplane,Boeing,777,UNK,Unknown,Part 121: Air Carrier,Unknown,,,,1,UNK,Unknown,Foreign,1998,Boeing 777
67,20001211X10826,Accident,8/5/98,,,,Unavailable,Substantial,Airplane,Boeing,747,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,IMC,Unknown,Foreign,1998,Boeing 747
68,20001211X10827,Incident,8/13/98,,,,Incident,Unknown,Airplane,Boeing,737,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 737
69,20001211X11042,Incident,9/12/98,,,,Incident,Substantial,Airplane,Boeing,767,UNK,Unknown,Part 129: Foreign,Unknown,,,,200,VMC,Unknown,Foreign,1998,Boeing 767
70,20001211X11485,Accident,11/11/98,,,,Fatal,Unknown,Airplane,Boeing,777,UNK,Turbo Fan,Part 121: Air Carrier,Unknown,,1,,227,UNK,Unknown,Foreign,1998,Boeing 777
71,20001211X11405,Accident,11/14/98,,,,Unavailable,Destroyed,Airplane,Boeing,707,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 707
72,20001211X11408,Incident,11/28/98,,,,Incident,Minor,Airplane,Boeing,747,UNK,Unknown,"Non-U.S., Commercial",Unknown,,,,,UNK,Unknown,Foreign,1998,Boeing 747
73,20001204X00044,Accident,1/15/99,,,,Fatal,Substantial,Airplane,Boeing,767,UNK,Turbo Fan,Part 121: Air Carrier,Unknown,,,,91,UNK,Unknown,Foreign,1999,Boeing 767
74,20001205X00145,Accident,2/7/99,,,,Fatal,Substantial,Airplane,Boeing,707,UNK,Unknown,Part 129: Foreign,Unknown,,,,4,UNK,Unknown,Foreign,1999,Boeing 707
75,20001205X00146,Incident,2/8/99,,,,Incident,Minor,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,3,UNK,Unknown,Foreign,1999,Boeing 747
76,20001205X00299,Accident,3/4/99,,,,Unavailable,Substantial,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,,IMC,Unknown,Foreign,1999,Boeing 737
77,20001205X00296,Accident,3/5/99,,,,Fatal,Destroyed,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,2,UNK,Unknown,Foreign,1999,Boeing 747
78,20001205X00298,Incident,3/10/99,,,CALGARY,Incident,Minor,Airplane,Boeing,727,UNK,Unknown,Part 121: Air Carrier,Unknown,,,,96,UNK,Unknown,Foreign,1999,Boeing 727
79,20001205X00300,Incident,3/20/99,,,,Incident,Minor,Airplane,Boeing,Md80/87,UNK,Unknown,Part 129: Foreign,Unknown,,,,2,UNK,Unknown,Foreign,1999,Boeing Md80/87
80,20001212X18964,Accident,6/9/99,,,,Fatal,Substantial,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,4,71,UNK,Unknown,Foreign,1999,Boeing 737
81,20001212X18965,Incident,6/9/99,,,,Incident,Minor,Airplane,Boeing,757,UNK,Unknown,Part 121: Air Carrier,Unknown,,,,94,UNK,Unknown,Foreign,1999,Boeing 757
82,20010711X01367,Incident,7/12/99,,,,Incident,Unknown,Airplane,Boeing,737,UNK,UNK,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,1999,Boeing 737
83,20001212X19475,Incident,8/24/99,,,,Incident,Minor,Airplane,Boeing,767,UNK,Unknown,Part 129: Foreign,Unknown,,,,191,UNK,Unknown,Foreign,1999,Boeing 767
84,20001212X19474,Incident,8/26/99,,,,Incident,Unknown,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,5,UNK,Unknown,Foreign,1999,Boeing 737
85,20001212X19732,Incident,9/2/99,,,,Incident,Substantial,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,3,UNK,Unknown,Foreign,1999,Boeing 747
86,20001212X19734,Accident,9/23/99,,,,Unavailable,Substantial,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,,IMC,Unknown,Foreign,1999,Boeing 747
87,20001212X20085,Accident,11/5/99,,,,Fatal,Substantial,Airplane,Boeing,777,UNK,Turbo Fan,Part 121: Air Carrier,Unknown,,,,274,UNK,Unknown,Foreign,1999,Boeing 777
88,20001212X20217,Accident,12/13/99,,,,Fatal,Unknown,Airplane,Boeing,777,UNK,Turbo Fan,Part 121: Air Carrier,Unknown,,1,5,185,IMC,Unknown,Foreign,1999,Boeing 777
89,20001212X20342,Incident,1/2/00,,,,Incident,Minor,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,143,UNK,Unknown,Foreign,2000,Boeing 737
90,20001212X20475,Accident,2/12/00,,,,Fatal,Destroyed,Airplane,Boeing,727,UNK,Unknown,Part 129: Foreign,Unknown,,,,7,IMC,Unknown,Foreign,2000,Boeing 727
91,20001212X20476,Accident,2/27/00,,,,Fatal,Substantial,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,123,IMC,Unknown,Foreign,2000,Boeing 737
92,20001212X20606,Accident,3/5/00,,,BURBANK-GLENDALE-PASADENA,Fatal,Destroyed,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Unknown,,2,42,98,VMC,Landing,Probable Cause,2000,Boeing 737
93,20001212X20608,Accident,3/20/00,,,,Unavailable,Substantial,Airplane,Boeing,727,UNK,Unknown,Part 129: Foreign,Unknown,,,,,VMC,Unknown,Foreign,2000,Boeing 727
94,20001212X20607,Incident,3/26/00,,,,Incident,Substantial,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,16,UNK,Unknown,Foreign,2000,Boeing 747
95,20010321X00614,Accident,4/2/00,,,,Fatal,Substantial,Airplane,Boeing,747,UNK,Turbo Fan,Part 121: Air Carrier,Uknown,,,,3,UNK,Unknown,Foreign,2000,Boeing 747
96,20010321X00615,Incident,4/2/00,,,,Incident,Minor,Airplane,Boeing,727,UNK,Unknown,Part 121: Air Carrier,Unknown,,,,,UNK,Unknown,Foreign,2000,Boeing 727
97,20010108X00051,Incident,4/18/00,,,,Incident,Unknown,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,,,,,VMC,Unknown,Foreign,2000,Boeing 737
98,20001212X20792,Accident,4/19/00,,,,Fatal,Destroyed,Airplane,Boeing,737,UNK,Unknown,Part 129: Foreign,Unknown,131,,,,IMC,Unknown,Foreign,2000,Boeing 737
99,20010321X00619,Incident,4/22/00,,,,Incident,Unknown,Airplane,Boeing,747,UNK,UNK,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2000,Boeing 747
100,20010105X00024,Incident,5/12/00,,,,Incident,Unknown,Airplane,Boeing,747,UNK,Unknown,"Part 125: 20+ Pax,6000+ lbs",Unknown,,,,,UNK,Unknown,Foreign,2000,Boeing 747
101,20001212X21079,Accident,5/20/00,,,,Fatal,Unknown,Airplane,Boeing,737,UNK,Turbo Fan,Part 121: Air Carrier,Unknown,,1,,123,IMC,Standing,Probable Cause,2000,Boeing 737
102,20010108X00053,Incident,6/7/00,,,,Incident,Minor,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,,UNK,Unknown,Foreign,2000,Boeing 747
103,20010108X00052,Incident,6/12/00,,,,Incident,Minor,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,,,UNK,Unknown,Foreign,2000,Boeing 747
104,20001212X21426,Incident,7/23/00,,,,Incident,Minor,Airplane,Boeing,747,UNK,Unknown,Part 129: Foreign,Unknown,,,380,,IMC,Unknown,Foreign,2000,Boeing 747
105,20010108X00054,Accident,9/21/00,,,,Fatal,Destroyed,Airplane,Boeing,707,UNK,Unknown,"Non-U.S., Non-Commercial",Business,,,10,,UNK,Unknown,Foreign,2000,Boeing 707
106,20001212X22275,Incident,11/15/00,,,,Incident,Minor,Airplane,Boeing,757,UNK,Unknown,Part 129: Foreign,Unknown,,,,97,UNK,Unknown,Foreign,2000,Boeing 757
107,20030930X01615,Accident,11/26/00,,,,Fatal,Unknown,Airplane,Boeing,767,2,UNK,Part 129: Foreign,Uknown,,2,,,UNK,Descent,Probable Cause,2000,Boeing 767
108,20010216X00462,Accident,12/27/00,,,GENERAL EDWARD LAWRENCE LOGAN,Fatal,Unknown,Airplane,Boeing,767,2,Turbo Fan,Part 121: Air Carrier,Uknown,,1,,79,VMC,Taxi,Probable Cause,2000,Boeing 767
109,20010329X00665,Accident,1/6/01,,,,Unavailable,Destroyed,Airplane,Boeing,727,UNK,UNK,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2001,Boeing 727
110,20010130X00371,Accident,1/9/01,,,,Fatal,Substantial,Airplane,Boeing,727,UNK,UNK,Part 129: Foreign,Uknown,,,,144,UNK,Unknown,Foreign,2001,Boeing 727
111,20010323X00639,Incident,1/30/01,,,,Incident,Unknown,Airplane,Boeing,777,UNK,UNK,Part 129: Foreign,Uknown,,,,,UNK,Unknown,Foreign,2001,Boeing 777
112,20010226X00510,Accident,2/3/01,,,Logan International Airport,Fatal,Substantial,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,,135,VMC,Taxi,Probable Cause,2001,Boeing 737
113,20010321X00620,Incident,2/4/01,,,,Incident,Unknown,Airplane,Boeing,747,UNK,UNK,Part 129: Foreign,Uknown,,,,,UNK,Unknown,Foreign,2001,Boeing 747
114,20010323X00636,Accident,3/16/01,,,,Fatal,Substantial,Airplane,Boeing,767,UNK,UNK,Part 129: Foreign,Uknown,,,,2,VMC,Unknown,Foreign,2001,Boeing 767
115,20010511X00929,Incident,3/17/01,,,,Incident,Minor,Airplane,Boeing,737,UNK,UNK,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2001,Boeing 737
116,20010919X01964,Accident,9/7/01,,,,Fatal,Unknown,Airplane,Boeing,767,UNK,UNK,Part 121: Air Carrier,Uknown,,1,,89,IMC,Unknown,Foreign,2001,Boeing 767
117,20020123X00104,Accident,9/11/01,,,,Fatal,Destroyed,Airplane,Boeing,767,2,Turbo Fan,Part 121: Air Carrier,Uknown,65,,,,UNK,Cruise,Probable Cause,2001,Boeing 767
118,20090625X31711,Incident,3/1/02,,,Sydney,Incident,Minor,Airplane,Boeing,747,4,Turbo Fan,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2002,Boeing 747
119,20030305X00289,Accident,2/1/03,,,,Fatal,Substantial,Airplane,Boeing,737,UNK,UNK,Part 121: Air Carrier,Uknown,,,,101,VMC,Unknown,Foreign,2003,Boeing 737
120,20090526X02836,Incident,2/13/03,,,Okinawa,Incident,Unknown,Airplane,Boeing,747,4,Turbo Fan,"Non-U.S., Commercial",Uknown,,,,,UNK,Unknown,Foreign,2003,Boeing 747
121,20030407X00447,Accident,4/4/03,27.988889,-82.018611,Lakeland Linder,Fatal,Substantial,Airplane,Boeing,A75N1,1,Reciprocating,Part 91: General Aviation,Air Race/show,,,,2,VMC,Landing,Probable Cause,2003,Boeing A75N1
122,20030902X01433,Accident,7/22/03,41.024723,-81.727223,,Fatal,Unknown,Airplane,Boeing,757,2,Turbo Fan,Part 121: Air Carrier,Uknown,,1,2,110,VMC,Climb,Probable Cause,2003,Boeing 757
123,20031105X01861,Accident,10/4/03,42.364167,-71.005,Boston,Fatal,Substantial,Airplane,Boeing,737,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,,76,VMC,Standing,Probable Cause,2003,Boeing 737
124,20041027X01700,Accident,4/28/04,,,,Fatal,Substantial,Airplane,Boeing,Dc-10-30,UNK,UNK,Part 121: Air Carrier,Uknown,,,1,2,UNK,Unknown,Foreign,2004,Boeing Dc-10-30
125,20040805X01153,Accident,7/11/04,38.952778,-121.075556,Auburn,Fatal,Substantial,Airplane,Boeing,A75N1,1,Reciprocating,Part 91: General Aviation,Instructional,,,,2,VMC,Landing,Probable Cause,2004,Boeing A75N1
126,20060111X00048,Accident,7/25/04,,,,Fatal,Unknown,Airplane,Boeing,777,2,Turbo Fan,Part 121: Air Carrier,Uknown,,1,,216,VMC,Cruise,Probable Cause,2004,Boeing 777
127,20041109X01791,Accident,10/9/04,42.808611,-72.005,Silver Ranch Airport,Fatal,Substantial,Airplane,Boeing,B75N1,1,Reciprocating,Part 91: General Aviation,Other Work Use,,,2,,VMC,Takeoff,Probable Cause,2004,Boeing B75N1
128,20050215X00186,Incident,1/24/05,,,,Incident,Minor,Airplane,Boeing,747,UNK,UNK,Part 121: Air Carrier,Uknown,,,,3,IMC,Unknown,Foreign,2005,Boeing 747
129,20050323X00356,Accident,3/2/05,40.698611,-74.17,Newark International Airport,Fatal,Substantial,Airplane,Boeing,777,2,Turbo Fan,Part 121: Air Carrier,Uknown,,,,214,VMC,Takeoff,Probable Cause,2005,Boeing 777
