,Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
48,20020917X01777,Accident,1982-01-06,,,PAXTON MUNICIPAL,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause
49,20020917X01757,Accident,1982-01-06,,,,Fatal,Substantial,Airplane,Mooney,M-20J,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
50,20020917X02242,Accident,1982-01-06,,,,Fatal,Substantial,Airplane,Boeing,A75,1,Reciprocating,Part 91: General Aviation,UNK,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause
51,20020917X01964,Accident,1982-01-07,,,,Fatal,Destroyed,Airplane,Cessna,210,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
53,20020917X02141,Accident,1982-01-07,,,LAREDO INTL,Fatal,Substantial,Airplane,Curtis,C46,2,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",UNK,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause
56,20020917X02574,Accident,1982-01-08,,,PULLMAN-MOSCOW REGIONAL,Fatal,Substantial,Airplane,Cessna,Tu206G,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
57,20020917X02484,Accident,1982-01-08,,,,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
58,20020917X02431,Accident,1982-01-08,,,MITHELL,Fatal,Substantial,Airplane,Piper,Pa-24-250,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
59,20020917X01779,Accident,1982-01-08,,,MOUNT HAWLEY,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
61,20020917X01717,Accident,1982-01-08,,,TWIN LAKES,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
66,20020917X02283,Accident,1982-01-09,,,DILLINGHAM,Fatal,Substantial,Airplane,Cessna,305 (L-19),1,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
67,20020917X01981,Accident,1982-01-09,,,ROUTT CITY,Fatal,Substantial,Airplane,Cessna,182A,1,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause
68,20020917X02341,Accident,1982-01-10,,,LOWERY DAVIS,Fatal,Destroyed,Airplane,Piper,Pa-23-250,2,Reciprocating,Part 91: General Aviation,UNK,0.0,2.0,0.0,0.0,UNK,Approach,Probable Cause
74,20020917X01623,Accident,1982-01-10,,,,Fatal,Substantial,Airplane,Cessna,U206,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,3.0,0.0,VMC,Cruise,Probable Cause
79,20020917X01897,Incident,1982-01-12,,,CHICAGO O'HARE INTER'L,Incident,Unknown,Airplane,Lockheed,L-1011,3,Turbo Fan,Part 121: Air Carrier,UNK,0.0,0.0,0.0,149.0,UNK,Cruise,Probable Cause
80,20020917X01765,Incident,1982-01-12,,,BENEDUM,Incident,Minor,Airplane,Embraer,Emb-110P1,2,Turbo Prop,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause
87,20020917X02575,Accident,1982-01-13,,,GEIGER FIELD,Fatal,Substantial,Airplane,Piper,Pa-31-350,2,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause
92,20020917X02576,Accident,1982-01-15,,,FELTS,Fatal,Substantial,Airplane,Cessna,140,1,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
93,20020917X02538,Accident,1982-01-15,,,JOHN F. KENNEDY INT'L,Fatal,Substantial,Airplane,Swearingen,Sa 226-Tc,2,Turbo Prop,Part 135: Air Taxi & Commuter,UNK,0.0,1.0,2.0,12.0,VMC,Takeoff,Probable Cause
94,20020917X01780,Accident,1982-01-15,,,ANOKA COUNTY,Fatal,Substantial,Airplane,Beech,C-45H,2,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
95,20020917X01625,Accident,1982-01-15,,,,Fatal,Substantial,Airplane,De Havilland,Dhc-2-Mk3,1,Turbo Prop,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause
100,20020917X02294,Accident,1982-01-17,,,,Fatal,Destroyed,Airplane,Cessna,182P,1,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,1.0,0.0,VMC,Other,Probable Cause
101,20020917X02159,Accident,1982-01-17,,,HONOLULU INTL,Fatal,Destroyed,Airplane,Convair,440,2,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,2.0,1.0,VMC,Takeoff,Probable Cause
102,20020917X02142,Accident,1982-01-17,,,PORT MANSFIELD,Fatal,Destroyed,Airplane,Piper,Pa-31,2,Reciprocating,Part 91: General Aviation,UNK,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause
104,20020917X01721,Accident,1982-01-17,,,PICAYUNE-PEARL RIVER CNTY,Fatal,Destroyed,Airplane,Beech,F50,2,Reciprocating,Part 91: General Aviation,UNK,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
105,20020917X01624,Accident,1982-01-17,,,MERRILL FIELD,Fatal,Destroyed,Airplane,Cessna,150,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause
109,20020917X02624,Accident,1982-01-18,,,CLARK COUNTY,Fatal,Destroyed,Airplane,Beech,C23,1,Reciprocating,Part 91: General Aviation,Business,0.0,2.0,2.0,0.0,VMC,Descent,Probable Cause
112,20020917X01999,Accident,1982-01-18,,,,Fatal,Substantial,Airplane,Cessna,180K,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
114,20020917X02476,Accident,1982-01-19,,,MILLS RANCH,Fatal,Destroyed,Airplane,Mooney,M20F,1,Reciprocating,Part 91: General Aviation,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
116,20020917X01978,Accident,1982-01-19,,,,Fatal,Destroyed,Airplane,Cessna,177B,1,Reciprocating,Part 91: General Aviation,Business,1.0,2.0,0.0,0.0,UNK,Cruise,Probable Cause
118,20020917X01908,Accident,1982-01-19,,,ARANSAS COUNTY AIRPORT,Fatal,Destroyed,Airplane,Swearingen,Sa226-T(B),2,Turbo Prop,Part 91: General Aviation,Executive/corporate,3.0,0.0,0.0,0.0,IMC,Approach,Probable Cause
119,20020917X01766,Incident,1982-01-19,,,,Incident,Minor,Airplane,De Havilland,Dhc-6-300,2,Turbo Prop,Part 91: General Aviation,Ferry,0.0,0.0,0.0,1.0,IMC,Descent,Probable Cause
120,20020917X02490,Accident,1982-01-19,,,SOMERSET COUNTY,Fatal,Substantial,Airplane,Piper,Aerostar 601P,2,Reciprocating,Part 91: General Aviation,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
121,20020917X02488,Accident,1982-01-19,,,,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
122,20020917X02425,Accident,1982-01-19,,,,Fatal,Substantial,Airplane,Cessna,182P,1,Reciprocating,Part 91: General Aviation,Aerial Observation,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause
127,20020917X01806,Accident,1982-01-19,,,,Fatal,Substantial,Airplane,Cessna,340A,2,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,UNK,Cruise,Probable Cause
128,20020917X01781,Accident,1982-01-19,,,KENT COUNTY,Fatal,Substantial,Airplane,Piper,Pa-38-112,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
129,20020917X02397,Accident,1982-01-19,,,MIAMI INTL,Fatal,Substantial,Airplane,Canadair,Cl-44D4,4,Turbo Prop,Part 129: Foreign,UNK,0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause
130,20020917X01628,Accident,1982-01-19,,,TUNTUTULIAK,Fatal,Substantial,Airplane,Piper,Pa-32,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
131,20020917X02334,Incident,1982-01-20,,,SAN JOSE MUNICIPAL,Incident,Minor,Airplane,Piper,Pa-31-350,2,Reciprocating,Part 91: General Aviation,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
134,20020917X01751,Accident,1982-01-20,,,MCCOMB-PIKE COUNTY,Fatal,Destroyed,Airplane,Piper,Pa-23-250,2,Reciprocating,Part 91: General Aviation,Business,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause
136,20020917X01998,Accident,1982-01-20,,,MIDLAND AIRPARK,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
139,20020917X02467,Accident,1982-01-21,,,,Fatal,Destroyed,Airplane,Cessna,402A,2,Reciprocating,Part 135: Air Taxi & Commuter,UNK,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause
140,20020917X02399,Accident,1982-01-21,,,OPA LOCKA WEST,Fatal,Destroyed,Airplane,Dougals,Dc-3,2,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause
141,20020917X02295,Accident,1982-01-21,,,BAGDAD,Fatal,Destroyed,Airplane,Piper,Pa-23-250,2,Reciprocating,Part 91: General Aviation,Executive/corporate,0.0,1.0,2.0,0.0,IMC,Maneuvering,Probable Cause
145,20020917X01626,Accident,1982-01-21,,,ENGLISH BAY,Fatal,Destroyed,Airplane,Cessna,207,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause
147,20020917X02161,Accident,1982-01-21,,,SPAIN-AIR AIRPORT,Fatal,Substantial,Airplane,Air Tractor,301,1,Reciprocating,Part 137: Agricultural,UNK,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
148,20020917X02307,Accident,1982-01-22,,,,Fatal,Destroyed,Airplane,Sons Mustang,Ii,1,Reciprocating,Part 91: General Aviation,UNK,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
149,20020917X01767,Incident,1982-01-22,,,STANDIFORD FIELD,Incident,Unknown,Airplane,Dassault/Sud,Falcon 20,2,Turbo Fan,Part 121: Air Carrier,UNK,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause
154,20020917X02000,Accident,1982-01-23,,,,Fatal,Destroyed,Airplane,Grumman,G-164A,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
155,20020917X01909,Accident,1982-01-23,,,BOSTON-LOGAN INTER'L,Fatal,Destroyed,Airplane,Dougals,Dc-10-30,3,Turbo Fan,Part 121: Air Carrier,UNK,2.0,4.0,24.0,182.0,IMC,Landing,Probable Cause
164,20020917X02002,Accident,1982-01-23,,,WEISER,Fatal,Substantial,Airplane,Piper,Pa-38-112,1,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,1.0,1.0,VMC,Go-around,Probable Cause
169,20020917X01661,Accident,1982-01-24,,,ATHENS MUNICIPAL,Fatal,Substantial,Airplane,Cessna,177,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause
171,20020917X01652,Accident,1982-01-25,,,SKY HARBOR/O'MALLEY,Fatal,Substantial,Airplane,Cessna,152Ii,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause
172,20020917X02123,Accident,1982-01-26,,,,Fatal,Destroyed,Airplane,Cessna,A188B,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause
174,20020917X02430,Accident,1982-01-26,,,MCCOMAS-LEES SUMMIT,Fatal,Substantial,Airplane,Cessna,172N,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause
175,20020917X02427,Accident,1982-01-26,,,,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
176,20020917X01917,Accident,1982-01-26,,,,Fatal,Substantial,Airplane,Bellanca,7Gcbc,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
179,20020917X02491,Accident,1982-01-27,,,ANSONIA,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
180,20020917X02164,Accident,1982-01-27,,,KINGDON AIRPARK,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
181,20020917X01925,Accident,1982-01-27,,,JEFFERSON COUNTY,Fatal,Substantial,Airplane,Cessna,172N,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause
182,20020917X01783,Accident,1982-01-27,,,Private,Fatal,Substantial,Airplane,Aeronca,7Bcm,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
184,20020917X02325,Accident,1982-01-28,,,,Fatal,Destroyed,Airplane,Piper,28-151,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause
185,20020917X02579,Accident,1982-01-28,,,SUNRIVER,Fatal,Substantial,Airplane,Cessna,340A,2,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
187,20020917X02165,Accident,1982-01-28,,,TURNER FIELD,Fatal,Substantial,Airplane,Mooney,M20C,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
188,20020917X02001,Accident,1982-01-28,,,,Fatal,Substantial,Airplane,Cessna,A185F,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
189,20020917X01662,Accident,1982-01-28,,,,Fatal,Substantial,Airplane,Piper,Pa-32-260,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause
191,20020917X01768,Incident,1982-01-29,,,,Incident,Unknown,Airplane,Beech,B200,2,Turbo Prop,Part 91: General Aviation,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
193,20020917X01919,Accident,1982-01-29,,,,Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause
200,20020917X02003,Accident,1982-01-30,,,BALD KNOB,Fatal,Substantial,Airplane,Cessna,140,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
204,20020917X02580,Accident,1982-01-30,,,SINCLAIR ISLAND,Fatal,Substantial,Airplane,Cessna,172P,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,0.0,0.0,3.0,IMC,Landing,Probable Cause
206,20020917X02482,Accident,1982-01-31,,,ESSEX COUNTY AIRPORT,Fatal,Substantial,Airplane,Cessna,150L,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause
207,20020917X02429,Accident,1982-01-31,,,MALDEN MUNI,Fatal,Substantial,Airplane,Beech,36,1,Reciprocating,Part 91: General Aviation,Business,0.0,1.0,0.0,1.0,IMC,Cruise,Probable Cause
209,20020917X02343,Accident,1982-01-31,,,DELAND MUNICIPAL,Fatal,Substantial,Airplane,Piper,Pa-28-161,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause
211,20020917X02005,Accident,1982-01-31,,,ALBUQUERQUE INTL.,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
212,20020917X02004,Accident,1982-01-31,,,MCKINNEY,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
214,20020917X02480,Accident,1982-02-01,,,GROTON-NEW LONDON,Fatal,Destroyed,Airplane,Beech,99,2,Turbo Prop,Part 135: Air Taxi & Commuter,UNK,0.0,5.0,2.0,0.0,IMC,Approach,Probable Cause
215,20020917X02413,Accident,1982-02-01,,,CRYSTAL RIVER,Fatal,Destroyed,Airplane,Cessna,172,1,Reciprocating,Part 91: General Aviation,UNK,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause
218,20020917X02315,Accident,1982-02-01,,,SONOMA VALLEY,Fatal,Substantial,Airplane,Bellanca,7Eca,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
221,20020917X01784,Accident,1982-02-01,,,ANDERSON MUNICIPAL,Fatal,Substantial,Airplane,Grumman,1159,2,Turbo Jet,Part 91: General Aviation,Executive/corporate,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause
222,20020917X01922,Accident,1982-02-01,,,,Fatal,Substantial,Airplane,Piper,Pa-32,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,0.0,1.0,0.0,0.0,IMC,Cruise,Probable Cause
223,20020917X02539,Accident,1982-02-02,,,STEWART,Fatal,Destroyed,Airplane,Piper,Pa-23-250,2,Reciprocating,Part 135: Air Taxi & Commuter,UNK,1.0,0.0,0.0,0.0,IMC,Approach,Probable Cause
225,20020917X02581,Accident,1982-02-02,,,Private,Fatal,Substantial,Airplane,Cessna,U206G,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
226,20020917X02007,Accident,1982-02-02,,,TERRELL COUNTY,Fatal,Substantial,Airplane,Cessna,T210N,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
229,20020917X01923,Accident,1982-02-03,,,YAMPA VALLEY,Fatal,Destroyed,Airplane,Mitsubishi,Mu2B-40,2,Turbo Prop,Part 91: General Aviation,Business,0.0,0.0,6.0,0.0,IMC,Landing,Probable Cause
230,20020917X01910,Accident,1982-02-03,,,PHILADELPHIA INTL,Fatal,Minor,Airplane,Dougals,Dc-10-10,3,Turbo Fan,Part 121: Air Carrier,UNK,0.0,1.0,0.0,154.0,IMC,Takeoff,Probable Cause
231,20020917X02582,Accident,1982-02-03,,,,Fatal,Substantial,Airplane,Cessna,150J,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Maneuvering,Probable Cause
234,20020917X02555,Accident,1982-02-03,,,ROBERT MILLER,Fatal,Substantial,Airplane,Ted Smith,Aerostar 600,2,Reciprocating,Part 91: General Aviation,UNK,0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause
236,20020917X02583,Accident,1982-02-04,,,BURNS MUNICIPAL,Fatal,Substantial,Airplane,Bellanca,7Kcab,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
239,20020917X01724,Accident,1982-02-05,,,,Fatal,Destroyed,Airplane,Piper,Pa-32R-300,1,Reciprocating,Part 135: Air Taxi & Commuter,UNK,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause
240,20020917X02570,Accident,1982-02-05,,,ELLINGTON,Fatal,Substantial,Airplane,Piper,Pa-28-140,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause
242,20020917X02585,Accident,1982-02-06,,,MEDFORD-JACKSON COUNTY,Fatal,Minor,Airplane,Boeing,A75N1,1,Reciprocating,Part 137: Agricultural,Aerial Application,0.0,0.0,0.0,3.0,VMC,Taxi,Probable Cause
243,20020917X02415,Accident,1982-02-06,,,,Fatal,Destroyed,Airplane,Piper,Pa-31,2,Reciprocating,Part 91: General Aviation,UNK,0.0,2.0,0.0,0.0,IMC,Unknown,Probable Cause
246,20020917X02432,Accident,1982-02-06,,,SPRINGFIELD MUNICIPAL,Fatal,Substantial,Airplane,Piper,Pa-28-140,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
249,20020917X02172,Accident,1982-02-06,,,,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause
253,20020917X01786,Accident,1982-02-06,,,BUFFALO,Fatal,Substantial,Airplane,Cessna,150,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause
257,20020917X02265,Accident,1982-02-07,,,,Fatal,Destroyed,Airplane,Cessna,P210N,1,Reciprocating,Part 91: General Aviation,UNK,4.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause
259,20020917X02584,Accident,1982-02-07,,,GEORGE O. BEARDSLEY FIELD,Fatal,Substantial,Airplane,Piper,Pa-28-180,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
262,20020917X02434,Accident,1982-02-07,,,CAPE GIRARDEAU MUNICIPAL,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
263,20020917X02433,Accident,1982-02-07,,,WASHINGTON MUNICIPAL,Fatal,Substantial,Airplane,Piper,Pa-38,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
264,20020917X02009,Accident,1982-02-07,,,ARTESIA MUNICIPAL,Fatal,Substantial,Airplane,Cessna,177Rg,1,Reciprocating,Part 91: General Aviation,Business,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause
266,20020917X01791,Accident,1982-02-07,,,,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
267,20020917X01789,Accident,1982-02-07,,,PUTNAM COUNTY,Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
270,20020917X02129,Accident,1982-02-08,,,Private,Fatal,Substantial,Airplane,Piper,Pa-18A-150,1,Reciprocating,Part 91: General Aviation,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
271,20020917X01879,Accident,1982-02-08,,,LANSING MUNI,Fatal,Substantial,Airplane,Cessna,152,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
273,20020917X01793,Accident,1982-02-08,,,PORTER COUNTY,Fatal,Substantial,Airplane,Piper,Pa-28-161,1,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause
