Event.Id,Investigation.Type,Event.Date,Latitude,Longitude,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Make.and.Model
20091019X30130,Incident,9/17/09,,,Copenhagen,Unavailable,Unknown,Airplane,Airbus,A319,2,Turbo Fan,NUSC,Uknown,0,0,0,0,UNK,Unknown,,2009,Airbus A319
20091022X00120,Incident,10/21/09,445250N,0931315W,Minneapolis-St Paul Internatio,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,152,UNK,Unknown,The flight crew's failure to monitor the airplanes radio and instruments and the progress of the flight after becoming distracted by conversations and activities unrelated to the operation of the flight.,2009,Airbus A320
20091117X55556,Incident,11/15/09,391752N,0944250W,Kansas City International,Fatal,Minor,Airplane,Airbus,A319,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,130,VMC,Unknown,The in-flight engine ingestion of one or more Lesser Snow Geese (Chen caerulescens caerulescens).,2009,Airbus A319
20100112X10853,Incident,1/10/10,404426N,0741011W,Newark,Fatal,Minor,Airplane,Airbus,A319,2,Turbo Jet,Part 121: Air Carrier,Uknown,0,3,0,50,VMC,Unknown,"A mechanical failure of internal components of the right main landing gear door actuator resulting in the flight crew being unable to fully extend the right main landing gear using the normal and alternate procedures.

Contributing to this incident was a circular reference in the company Flight Manual in which the Landing Gear Gravity Extension checklist referred back to the Landing Gear Unsafe Indication After Extension checklist rather than the Landing Gear - Partial Gear or Gear Up Landing checklist.",2010,Airbus A319
20100120X85454,Incident,1/16/10,,,Stockhom-Arlanda Airport,Unavailable,Minor,Airplane,Airbus,A300,2,Turbo Fan,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2010,Airbus A300
20100312X84023,Accident,3/11/10,283053N,0804757W,,Fatal,Unknown,Airplane,Airbus,A319,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,2,1,114,VMC,Unknown,"An inadvertent in-flight encounter with turbulence, resulting in an injury to a cabin attendant.",2010,Airbus A319
20100503X82523,Incident,4/5/10,404422N,0074109W,Newark International Airport,Fatal,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,140,UNK,Unknown,"The separation of both halves of the left engine fan cowl assembly due to improper latching and locking of the all the fan cowl latches. The cause of the improper latching and locking of the fan cowls was due to the failure of the mechanic to unstow and properly latch and lock the fan cowl latches after the engine maintenance had been completed, and the failure of the maintenance  inspector to detect and identify the unlatched condition. Contributing the incident is the design of the fan cowl latch assembly that can provide a false latch condition when the latch is neither latched or locked. Also contributing incident is the lack of adequate Airbus and Jet Blue fan cowl latch inspection guidance to detect and identify an unlatched condition.",2010,Airbus A320
20100416X42046,Incident,4/10/10,,,Bahrain International Airport,Unavailable,Minor,Airplane,Airbus,A300,2,UNK,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2010,Airbus A300
20100420X41112,Incident,4/13/10,,,Hong Kong International,Unavailable,Unknown,Airplane,Airbus,A330,2,Turbo Fan,NUSC,Uknown,0,0,0,0,UNK,Unknown,,2010,Airbus A330
20100414X92635,Accident,4/14/10,,,Monterrey,Fatal,Destroyed,Airplane,Airbus,A300,2,Turbo Fan,Part 129: Foreign,Uknown,5,0,0,0,IMC,Unknown,,2010,Airbus A300
20100512X53621,Accident,5/12/10,,,,Fatal,Destroyed,Airplane,Airbus,A330,UNK,Turbo Fan,NUSC,Uknown,103,0,1,0,UNK,Unknown,,2010,Airbus A330
20100525X02508,Incident,5/21/10,555514N,1592924W,Ted Stevens International Airp,Fatal,Unknown,Airplane,Airbus,A319,2,Turbo Jet,Part 121: Air Carrier,Uknown,0,0,0,140,VMC,Unknown,The approach controller's delayed transfer of communications on the A319 to the tower controller and failure to account for the aircraft's speed when he directed the crew to turn north. Contributing to the incident was the 747 crew's transfer of radio communications to departure control prior to being directed to do so by the tower controller.,2010,Airbus A319
20100602X32802,Incident,5/26/10,,,Ataturk International Airport,Unavailable,Minor,Airplane,Airbus,A300,2,UNK,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2010,Airbus A300
20100606X02721,Accident,6/5/10,351249N,0805656W,Charlotte/Douglas Internationa,Fatal,Minor,Airplane,Airbus,A330,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,454,VMC,Unknown,The Airbus A330 flight crew's failure to maintain clearance from a standing airplane while taxiing.,2010,Airbus A330
20100617X91837,Incident,6/15/10,422136N,0071334W,Boston Logan,Unavailable,Unknown,Airplane,Airbus,A330,2,UNK,NUSC,Uknown,0,0,0,0,UNK,Unknown,,2010,Airbus A330
20100803X33417,Accident,7/28/10,,,Benazir Bhutto International,Fatal,Destroyed,Airplane,Airbus,A321,2,Turbo Fan,NUSC,Uknown,157,0,0,0,UNK,Unknown,,2010,Airbus A321
20100827X20401,Incident,8/26/10,384144N,1213527W,Sacramento International,Fatal,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,7,0,84,VMC,Unknown,"The first officers inadvertent activation of the parking brake in flight, which led to the airplane abruptly stopping and all four of its main landing gear tires deflating, and his use of a nonstandard procedure to cancel the airplane's monitoring alert system.",2010,Airbus A320
20100916X50512,Incident,9/16/10,044540N,0931349W,,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,190,IMC,Unknown,The Local North Controller's issuance of a left-turn heading to the Airbus without establishing the position and heading of the Beech. Contributing to the incident was the Local South Controller's distraction with a ground movement operation and lack of awareness of the Beech's heading and the impending conflict. Also contributing to the incident was the Beech's delayed turn to the assigned departure heading.,2010,Airbus A320
20111031X44724,Accident,9/24/10,,,Palermo Punta Raisi Airport,Fatal,Substantial,Airplane,Airbus,A319,UNK,UNK,NUSC,Uknown,0,35,0,95,UNK,Unknown,,2010,Airbus A319
20110216X04353,Incident,12/29/10,,,Changchun,Unavailable,Unknown,Airplane,Airbus,A320,2,Turbo Fan,NUSC,Uknown,0,0,0,0,UNK,Unknown,,2010,Airbus A320
20110113X80344,Incident,1/10/11,,,East Midlands Airport,Unavailable,Minor,Airplane,Airbus,A300,2,UNK,NUSC,Uknown,0,0,0,0,UNK,Unknown,,2011,Airbus A300
20110219X32035,Accident,2/19/11,044242N,0724238W,Burlington International,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,1,1,117,VMC,Unknown,"The airplane's inadvertent encounter with turbulence during the approach, which resulted in serious injury to a flight attendant.",2011,Airbus A320
20110323X24235,Accident,3/23/11,003520N,0106360W,Albuquerque International,Fatal,Substantial,Airplane,Airbus,F4-622R,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,2,VMC,Unknown,The captain's failure to control the airplane pitch-up induced by ground spoiler deployment during the go-around.,2011,Airbus F4-622R
20110404X21934,Incident,4/4/11,295923N,0901458W,Louis Armstrong New Orleans,Fatal,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,109,IMC,Unknown,"the captain's failure to properly recognize and manage the abnormal condition, resulting in it escalating to an in-flight emergency.",2011,Airbus A320
20110412X23201,Accident,4/12/11,403821N,0734722W,John F Kennedy IAP,Fatal,Substantial,Airplane,Airbus,A380,4,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,576,VMC,Unknown,the A380 flight crew's inability to identify that the wingtip path of their airplane would not maintain safe clearance from the CRJ701. Contributing to the accident was the failure of the CRJ701 flight crew to advise ATC that they were stopped with a portion of their airplane still extending onto the taxiway.,2011,Airbus A380
20110426X03427,Accident,4/25/11,403823N,0734644W,John F. Kennedy International,Fatal,Unknown,Airplane,Airbus,A330,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,275,VMC,Unknown,"The flight attendant's inadvertent fall, which resulted in a serious injury.",2011,Airbus A330
20110510X01046,Accident,5/9/11,395236N,0933826W,,Fatal,Unknown,Airplane,Airbus,A319,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,124,VMC,Unknown,An inadvertent encounter with unforecast convective turbulence.,2011,Airbus A319
20110530X03238,Incident,5/26/11,,,,Unavailable,Unknown,Airplane,Airbus,A330,2,UNK,Part 129: Foreign,Uknown,0,0,0,0,UNK,Unknown,,2011,Airbus A330
20110823X10652,Incident,8/18/11,,,,Fatal,Unknown,Airplane,Airbus,A320,UNK,UNK,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2011,Airbus A320
20110917X35742,Incident,9/17/11,043230N,0089211W,Chicago O'Hare IAP,Fatal,Minor,Airplane,Airbus,A320,2,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,140,VMC,Unknown,The infiltration of moisture into the windshield heating layer that induced arcing in the heating system that subsequently cracked the windshield.,2011,Airbus A320
20110919X31136,Incident,9/19/11,013329S,0715620W,Alejandro Velasco Astete IAP,Unavailable,Unknown,Airplane,Airbus,A320,2,UNK,NUSC,Uknown,0,0,0,0,UNK,Unknown,<br /><br />,2011,Airbus A320
20120224X25922,Accident,11/10/11,044524N,0931336W,MINNEAPOLIS-ST PAUL INTL/WOLD-,Fatal,Substantial,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,150,UNK,Unknown,"In-flight collision with birds during initial climb, which resulted in substantial damage to the aircraft.",2011,Airbus A320
20120302X22622,Accident,2/24/12,039180N,0075318W,,Fatal,Unknown,Airplane,Airbus,A321,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,188,IMC,Unknown,an encounter with convective turbulence that resulted in injury to a passenger who was not seated when the seatbelt sign was illuminated.,2012,Airbus A321
20120417X44353,Accident,4/15/12,038506N,1061644W,,Fatal,Minor,Airplane,Airbus,A319,2,Turbo Jet,Part 121: Air Carrier,Uknown,0,1,2,95,VMC,Unknown,an inadvertent encounter with mountain wave turbulence.,2012,Airbus A319
20120511X73555,Accident,5/10/12,042482N,0735510W,Fort Lauderdale,Fatal,Unknown,Airplane,Airbus,A319,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,142,VMC,Unknown,"an inadvertent encounter with convectively induced turbulence developing upwards into the flight path, which was not detected on weather radar as configured by the crew.

Contributing to the delay in emergency medical personnel notification was the incomplete coordination of paramedic response by air traffic control and ineffective communications monitoring by Frontier Airlines.",2012,Airbus A319
20130604X82231,Incident,5/27/12,,,CAM RANH Airport Vietnam,Fatal,Minor,Airplane,Airbus,A321,2,Turbo Fan,NUSC,Uknown,0,0,0,91,UNK,Unknown,,2012,Airbus A321
20120612X01249,Accident,6/11/12,445233N,0931311W,,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,149,IMC,Unknown,Inadvertent encounter with convective turbulence while in descent.,2012,Airbus A320
20120621X34639,Incident,6/17/12,404535N,0734239W,Las Vegas McCarran Internation,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,154,VMC,Unknown,"the failure of the right main landing gear door retraction flexible hydraulic line in the Green hydraulic system, which led to prolonged operation of the power transfer unit and subsequent overheating and loss of pressure in the Yellow hydraulic system, resulting in the airplane's operation with only one hydraulic system. Contributing to the incident was the lack of incorporation of aircraft manufacturer service bulletins that describe procedures for aircraft modifications intended to prevent this occurrence.",2012,Airbus A320
20120815X90616,Incident,6/20/12,,,Auckland International,Unavailable,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2012,Airbus A320
20120705X51659,Incident,7/5/12,,,,Fatal,Unknown,Airplane,Airbus,A319,UNK,UNK,Unknown,Uknown,0,0,0,27,UNK,Unknown,<br /><br />,2012,Airbus A319
20121101X94754,Incident,8/3/12,,,"Rome, Italy",Fatal,Minor,Airplane,Airbus,A319,2,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,100,UNK,Unknown,,2012,Airbus A319
20120811X13221,Accident,8/10/12,385651N,0077270W,Washington Dulles Internationa,Fatal,Minor,Airplane,Airbus,A330,2,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,270,VMC,Unknown,the A330 flight crew's failure to maintain a safe clearance to the DHC-8 that was stopped in front of the gate.,2012,Airbus A330
20120924X32520,Accident,9/18/12,003500N,0007900W,Charlotte-Douglas,Fatal,Unknown,Airplane,Airbus,A330,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,158,VMC,Unknown,an encounter with moderate turbulence while the flight attendant was securing the cabin for arrival.,2012,Airbus A330
20121023X55801,Incident,10/10/12,,,Charles De Gaulle,Unavailable,Unknown,Airplane,Airbus,A330,2,Turbo Fan,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2012,Airbus A330
20121113X03553,Incident,11/11/12,,,Sydney NSW,Unavailable,Unknown,Airplane,Airbus,A380,UNK,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,0,UNK,Unknown,,2012,Airbus A380
20130916X62912,Incident,11/18/12,,,Jinnah International Airport,Unavailable,Unknown,Airplane,Airbus,A310,2,Turbo Fan,Unknown,Uknown,0,0,0,0,UNK,Unknown,,2012,Airbus A310
20121228X00153,Incident,12/20/12,,,"Phuket, Thailand",Fatal,Minor,Airplane,Airbus,A330,2,UNK,NUSC,Uknown,0,0,0,257,UNK,Unknown,,2012,Airbus A330
20130118X53100,Accident,1/17/13,254725N,0801630W,Miami Intl,Fatal,Minor,Airplane,Airbus,A300,4,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,397,VMC,Unknown,"LV-BMT flight crew's incorrect evaluation of the clearance between the two aircraft, leading to the inadvertent collision of the left winglet with the horizontal stabilizer and elevator of F-GNZI. Contributing to the accident were the incorrect instructions given by the Miami Gates controller to the LV-BMT flight crew.",2013,Airbus A300
20130408X10949,Accident,4/5/13,036480N,0115180W,Las vegas,Fatal,Substantial,Airplane,Airbus,A321,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,0,192,VMC,Unknown,the captain's improper recovery from a bounced landing which resulted in a tailstrike.,2013,Airbus A321
20130502X52359,Accident,5/1/13,404159N,0074957W,Newark Liberty International,Fatal,Minor,Airplane,Airbus,A330,2,Turbo Fan,Part 129: Foreign,Uknown,0,0,0,290,VMC,Unknown,the failure of flight 908's captain to ensure adequate clearance between the wingtip of his airplane and flight 4226's empennage when he attempted to pass behind the other airplane.,2013,Airbus A330
20130517X14847,Accident,5/9/13,325348N,0097213W,Dallas-Fort Worth,Fatal,Unknown,Airplane,Airbus,A320,2,Turbo Fan,Part 121: Air Carrier,Uknown,0,0,1,119,VMC,Unknown,The flight attendant's inadvertent trip over the jumpseat that had not retracted automatically.,2013,Airbus A320
20130814X15751,Accident,8/14/13,333350N,0086488W,Birmingham-Shuttlesworth Inter,Fatal,Destroyed,Airplane,Airbus,A300,2,Turbo Fan,Part 121: Air Carrier,Uknown,2,0,0,0,UNK,Unknown,"the flight crew's continuation of an unstabilized approach and their failure to monitor the aircraft's altitude during the approach, which led to an inadvertent descent below the minimum approach altitude and subsequently into terrain. Contributing to the accident were (1) the flight crew's failure to properly configure and verify the flight management computer for the profile approach; (2) the captain's failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured; (3) the flight crew's expectation that they would break out of the clouds at 1,000 feet above ground level due to incomplete weather information; (4) the first officer's failure to make the required minimums callouts;  (5) the captain's performance deficiencies likely due to factors including, but not limited to, fatigue, distraction, or confusion, consistent with performance deficiencies exhibited during training; and (6) the first officer's fatigue due to acute sleep loss resulting from her ineffective off-duty time management and circadian factors.",2013,Airbus A300
20130829X52159,Incident,8/25/13,,,,Unavailable,Unknown,Airplane,Airbus,A300,2,Turbo Fan,Unknown,Uknown,0,0,0,0,UNK,Unknown,<br /><br />,2013,Airbus A300
20150626X02810,Accident,9/1/13,,,,Fatal,Unknown,Airplane,Airbus,A330,UNK,UNK,Unknown,Uknown,0,14,1,169,UNK,Unknown,,2013,Airbus A330
